,id,symbol,name
0,bitcoin,btc,Bitcoin
1,ethereum,eth,Ethereum
2,tether,usdt,Tether
3,binancecoin,bnb,BNB
4,ripple,xrp,XRP
5,usd-coin,usdc,USD Coin
6,staked-ether,steth,Lido Staked Ether
7,dogecoin,doge,Dogecoin
8,solana,sol,Solana
9,cardano,ada,Cardano
