fecha,criptomoneda,precio,capitalizacion,volumen_total
2020-12-22,Bitcoin,22840.991707188357,424329939581.7774,38423396405.393135
2020-12-22,USD Coin,0.99695514412162,3354936550.195095,881597851.3159701
2020-12-22,Staked Ether,617.1649966237076,0.0,137563.02655658743
2020-12-22,Dogecoin,0.0048018551917944,612762329.8263648,582692435.9982187
2020-12-22,Cardano,0.1536914033620057,4777223035.782049,838303952.7025075
2020-12-22,Tether,1.0020297939081966,20352568043.264217,56045236102.61864
2020-12-22,Solana,1.5434205371433634,71954471.52541262,10231076.96252841
2020-12-22,Ripple,0.517176018717592,23545991367.258896,7090693761.650875
2020-12-22,BinanceCoin,32.303139741057095,4777115837.70322,713959772.0509456
2020-12-22,Ethereum,610.4270278980672,69545799024.42459,14563648896.243876
2020-12-23,Staked Ether,617.1649966237076,0.0,137563.02655658743
2020-12-23,Cardano,0.1570797839947348,4872658288.604781,992545291.2040076
2020-12-23,Ripple,0.4513205941954525,20501594828.858875,11195910016.75438
2020-12-23,Ethereum,634.9797234431858,72327947935.45154,11548425748.838194
2020-12-23,Tether,1.001961638759011,20473741651.360035,56285751885.75779
2020-12-23,Solana,1.4928837701687971,69532641.54486774,14598569.95920073
2020-12-23,Dogecoin,0.004533534522381,578585500.0546367,236179119.0182375
2020-12-23,USD Coin,1.0021717844244304,3382198127.802428,1076390262.6837974
2020-12-23,BinanceCoin,33.50989058105248,4945772817.2023,667525756.72639
2020-12-23,Bitcoin,23794.79330262859,441752551013.19135,38733771616.273865
2020-12-24,Ethereum,587.9588954992439,67468061368.13851,16795838161.84157
2020-12-24,Cardano,0.1384300242564514,4367651955.025395,1136208021.3378725
2020-12-24,Staked Ether,596.7677113169867,4424223.373088122,67102.2592157251
2020-12-24,Bitcoin,23308.12723217715,433051601800.6929,42917744239.8244
2020-12-24,Solana,1.206243024482621,56718890.08800321,21811152.39122753
2020-12-24,Tether,1.0040126431796252,20559034245.21406,65223503054.45911
2020-12-24,Ripple,0.2605069801361298,12163610689.503866,14873825893.383224
2020-12-24,BinanceCoin,31.298017131206112,4660064269.514709,715085462.9995052
2020-12-24,USD Coin,1.0025962328849,3456806893.283377,1049431948.3124917
2020-12-24,Dogecoin,0.0038264900775428,493809267.6235404,185987455.0072644
2020-12-25,USD Coin,1.0021470060461446,3560032067.6825166,861832781.4304547
2020-12-25,BinanceCoin,32.49695050936928,4814447228.089379,576913722.6583679
2020-12-25,Dogecoin,0.0045870770675832,583605834.2353426,182926718.7385402
2020-12-25,Cardano,0.1528683600059169,4755514900.781895,1237242191.7587464
2020-12-25,Staked Ether,611.5047123866868,5651612.707359494,54336.794214655325
2020-12-25,Solana,1.3634590117032817,63270395.09871319,11669615.744971463
2020-12-25,Ripple,0.3448041215700403,16602939796.20576,15221335122.706177
2020-12-25,Tether,1.002382623150769,20588104977.862133,58339107535.24187
2020-12-25,Ethereum,612.8796570505974,69867514814.01097,15132872519.529186
2020-12-25,Bitcoin,23760.28704854296,441614502954.1632,36826373658.97133
2020-12-26,Ripple,0.3180844197011546,14088171755.507318,13152417764.349289
2020-12-26,Staked Ether,624.8004202305107,7284743.945718903,45933.06454052944
2020-12-26,BinanceCoin,33.15766052669594,4899865020.948586,481229184.400561
2020-12-26,Ethereum,626.4567387784558,71422858091.1277,13125875205.90394
2020-12-26,Solana,1.4458848057739129,67364923.8031706,11302457.898446824
2020-12-26,USD Coin,1.0002261966543209,3556134257.378951,827657720.2654791
2020-12-26,Tether,1.002935721019072,20750908441.70769,55538895732.6606
2020-12-26,Bitcoin,24671.10771441541,458416319552.32434,36622874229.82892
2020-12-26,Cardano,0.1573471095034568,4902726521.418645,979948988.0898074
2020-12-26,Dogecoin,0.0045892098057076,585882282.2384405,154364516.27139553
2020-12-27,BinanceCoin,33.51240176627666,4954948231.448557,507064929.03805727
2020-12-27,Tether,1.002081207257256,20763290844.73684,56722879090.859406
2020-12-27,Ethereum,636.7423171944997,72391403990.8806,14640527408.48169
2020-12-27,Staked Ether,629.0666564890665,7530256.10332518,10300.366418282534
2020-12-27,Cardano,0.1583308843906223,4921659619.155688,1024574835.8838996
2020-12-27,Dogecoin,0.0045160455641795,576604270.3244793,161587640.96590027
2020-12-27,Solana,1.3282607978532563,61824850.92219503,8569139.626475705
2020-12-27,Ripple,0.2953833439116206,13418021942.616997,7431667092.912673
2020-12-27,Bitcoin,26476.13013701949,491978602969.93176,41995154622.74047
2020-12-27,USD Coin,1.0013502324400712,3567381017.3772,888919878.760487
2020-12-28,BinanceCoin,33.49744381518995,4973685729.749473,678051299.7817285
2020-12-28,Tether,1.0013051232580303,20803077157.078342,72620203805.89838
2020-12-28,Ethereum,689.6598573269875,78833072066.0927,24721301579.88044
2020-12-28,USD Coin,0.9985212889313004,3622545891.999229,1243509136.955824
2020-12-28,Dogecoin,0.0045521817157781,587180822.7622855,165317270.52687648
2020-12-28,Staked Ether,678.0991409249748,8034076.269339776,89087.13807428456
2020-12-28,Ripple,0.2841472438913299,13068762432.413218,7010555503.559292
2020-12-28,Bitcoin,26423.22879190229,493427450341.2601,56654980595.93094
2020-12-28,Cardano,0.1549701235272453,4874263848.091413,1278813155.9527574
2020-12-28,Solana,1.3065401279822344,61706533.09169116,15721103.749787897
2020-12-29,Tether,1.0020587398489331,20856035046.27366,59541015354.864624
2020-12-29,Bitcoin,27125.384120651503,503712223153.6673,42186521237.4668
2020-12-29,Ethereum,732.9570292975275,83575563402.66385,22707049400.143177
2020-12-29,Cardano,0.1776971739574475,5510916587.13831,1485346338.5519643
