timestamp,bitcoin,ethereum,tether,binancecoin,ripple,usd-coin,staked-ether,dogecoin,cardano,solana
2020-12-22,424329939581.7774,69545799024.42459,20352568043.264217,4777115837.70322,23545991367.258896,3354936550.195095,0.0,612762329.8263648,4777223035.782049,71954471.52541262
2020-12-23,441752551013.19135,72327947935.45154,20473741651.360035,4945772817.2023,20501594828.858875,3382198127.8024282,0.0,578585500.0546367,4872658288.604781,69532641.54486774
2020-12-24,433051601800.69293,67468061368.13851,20559034245.21406,4660064269.514709,12163610689.503866,3456806893.283377,4424223.373088122,493809267.6235404,4367651955.025395,56718890.08800321
2020-12-25,441614502954.16315,69867514814.01097,20588104977.862133,4814447228.089379,16602939796.20576,3560032067.6825166,5651612.707359494,583605834.2353426,4755514900.781895,63270395.09871319
2020-12-26,458416319552.32434,71422858091.1277,20750908441.707695,4899865020.948586,14088171755.507318,3556134257.378951,7284743.945718903,585882282.2384405,4902726521.418645,67364923.8031706
2020-12-27,491978602969.93176,72391403990.8806,20763290844.73684,4954948231.448557,13418021942.616997,3567381017.3771996,7530256.10332518,576604270.3244793,4921659619.155688,61824850.922195025
2020-12-28,493427450341.26013,78833072066.0927,20803077157.078346,4973685729.749473,13068762432.413218,3622545891.9992285,8034076.269339776,587180822.7622855,4874263848.091413,61706533.09169116
2020-12-29,503712223153.6673,83575563402.66385,20856035046.27366,5302039004.723987,11125026065.81033,3681723725.312681,11392116.720485743,585343439.1637602,5510916587.13831,70774348.23560144
2020-12-30,509680257177.0481,83885243123.81543,20873380059.777878,5722427540.454511,10057607712.33219,3731970717.6332045,11493376.39775885,571481132.3233013,5977650580.589258,78352281.80230162
2020-12-31,535967306917.84125,85790178023.44371,20920738588.993855,5644561342.625012,9633436313.890484,3705248341.6775026,11905413.948918724,591471700.0622396,5728871576.204359,71585859.2732059
2021-01-01,539438036435.6701,84037694047.35515,20934027063.04073,5507755823.482548,9986921049.346117,3925840105.2082787,12333635.441624038,597887560.832381,5664962992.375575,69766796.8517985
2021-01-02,545593282215.2498,83294083323.20639,21123644615.38574,5584591445.479913,10785755952.896763,4123724902.2271843,12123442.78038427,707576207.9924628,5459442449.830887,86318139.65505527
2021-01-03,597887713053.5825,88595346035.55156,21202977966.966965,5664992538.860413,10066602632.999481,4128120369.150497,13205950.414439877,1354819956.9427054,5541071871.348484,84086466.39653847
2021-01-04,613616917625.6967,112525376104.65454,21350523809.280685,6162622121.465481,10455111151.166016,4227905606.022351,15836679.44998422,1288354839.388065,6478554204.432761,99775343.80647424
2021-01-05,585726270248.7891,116693162132.74934,21808226475.32642,5860212415.082251,10578255930.15237,4254328706.9059496,17475397.472125165,1226307420.3356287,6776976218.184067,111799126.97201678
2021-01-06,633651671519.3958,125112930227.72487,21938753509.124535,6146043355.419785,10299283152.408031,4372477494.602853,19381852.747256536,1257877104.268277,8086992388.5403805,100329573.08891995
2021-01-07,682743683563.0741,137306782958.13135,22300090404.1088,6213203841.025946,11458017061.61058,4383223919.999994,21396653.5960448,1331066850.693355,10274502269.983538,89806036.82660183
2021-01-08,735339707368.3339,139084939665.71393,22825440973.459038,6360257240.65883,14783360785.307053,4487166194.893721,22986311.18507738,1249855746.9754574,9271209679.66398,617487734.823374
2021-01-09,758971014787.3597,139145700786.27826,23523147664.187305,6257342788.151831,14620012702.672577,4569415836.970623,24866161.52233301,1264295435.64546,9486227623.151382,832993617.4072843
2021-01-10,749347201462.6359,147397891905.5662,23789558136.59055,6535325408.396228,14981088874.901352,4756435704.08813,27038338.911400873,1306799490.5060332,10474851603.194075,895647361.5109031
2021-01-11,714078952009.0243,144775179901.584,24279872324.78446,6321067625.073282,14491113587.04244,4823053784.678522,32744969.53311306,1263664502.9384043,9547696166.484125,912330458.1173432
2021-01-12,663380898829.0051,124728988376.03725,24476886629.5841,5708211117.642347,13238979457.402128,4827132057.482812,28497872.511435106,1132719253.9873154,8567295374.420918,817258464.2688268
2021-01-13,629751630408.4126,119330774034.78914,24294673600.944046,5655761600.931015,13344731547.471989,4783652038.103683,29435948.93378641,1022224680.7365731,8919293654.92031,938493137.5207736
2021-01-14,696668634091.3435,128582223216.03041,24337321169.826145,5950937294.099859,13957393308.172102,4762603311.208288,53336069.24367899,1106626599.018502,9668965191.987007,921726565.2583522
2021-01-15,729751433670.0881,138240285220.32953,24213693580.926777,6162213630.697031,13478198579.22908,4828960535.356582,76486156.1462544,1211261062.4007857,9607023622.828886,859145982.5611855
2021-01-16,684304915288.2261,133962341262.37857,24266793529.261494,6085115283.863143,12758648527.012667,4876847232.563923,77773706.44238818,1193371729.6035225,9452716399.649153,854734765.1596448
2021-01-17,674660879866.02,141369013157.282,24315907744.20519,6408266290.294945,12752821363.443003,5042504749.588362,86367412.5894856,1185636962.329226,10974418960.154127,904006570.0309957
2021-01-18,672291934493.4396,142087383372.707,24325253500.348637,6811733847.335682,12608874407.39614,5073254051.47403,84463316.17207983,1155387088.7706044,11944120204.049417,1017470477.7839756
2021-01-19,682647247200.097,143378258827.21744,24361784336.09795,6697976479.659836,12954366484.188166,5130649762.345672,83549641.03804947,1180603793.0878499,11556220463.724558,987108914.5515286
2021-01-20,671734819189.1033,157929393133.71045,24298711592.612995,6375499623.76684,13433997245.77599,5144419415.794786,94727223.03282714,1158893557.1417313,11583747204.108196,953132372.6214266
2021-01-21,662434464441.264,156457140894.28006,24773996062.93597,6266849381.663175,13484155008.268005,5295657476.162421,101801923.66360264,1158148986.8963308,11629239817.496456,973442831.7891594
2021-01-22,575205510268.1292,130713677392.4996,25008394352.59355,5774109832.68915,12251471331.286976,5371877612.754116,84924379.65320097,1044842777.6884335,9813434945.822624,786986237.3494189
2021-01-23,613271077002.4795,140271927461.8329,24801327622.792286,5972297132.161497,12348108563.326498,5517506426.223048,93051751.08442973,1087438950.4062521,10808585450.780878,870802220.8670269
2021-01-24,596744391345.3533,140773242456.76056,24747246253.755672,6025125570.096895,12353173876.273672,5594771753.147792,110162894.87456314,1098138943.8773112,10775451797.658688,910358037.3778708
2021-01-25,600595408892.1986,158167202909.14236,24813122584.88907,6175849056.405198,12456245392.6549,5604626118.4117985,119999757.95428069,1118023169.9593675,10907245699.203642,946423915.3825785
2021-01-26,602517850752.0305,151940348541.692,24943473422.73445,6118277883.105456,12239551031.522264,5538707947.677226,121253879.31507112,1072613319.7744282,10718641448.677244,970376773.8007468
2021-01-27,606573549809.8268,155446593758.92108,25059561869.015553,6125248409.288884,12218188875.589693,5423438351.781103,129743647.98528455,1053619538.5165173,10707255441.64569,1054703273.4109547
2021-01-28,566661443732.4073,141774137750.6659,25255177033.61132,6046117020.91682,11407608804.15268,5500492872.854882,121610639.34405212,948845594.1597716,9653513519.30118,965216149.5931334
2021-01-29,616625386428.2396,152877389472.9714,25378936181.757412,6283476043.155616,12118698621.825148,5648928084.022703,136214636.33095643,4182699292.6448245,10775736944.967438,994404569.1401209
2021-01-30,635688668063.594,158354114909.26474,25228959196.063007,6337205523.632562,12853353143.140347,5838749940.04343,130336576.17264885,6067971852.134215,10870768823.23515,1011832935.6122584
2021-01-31,636624676861.2642,157410718624.21973,26260606337.887394,6604362183.837016,19215011544.534508,5835791902.409501,128423916.80874236,3654877536.8188677,11492910452.930855,1099976702.0181136
2021-02-01,615013848827.3505,150322722005.1637,26460152363.20715,6522941333.935256,22460670801.01922,5890426384.544125,140184744.40388563,4920829028.995096,11024882710.653038,1108554251.4633815
2021-02-02,621908231690.1377,155894407853.50046,26539965348.818275,7583767269.190991,16887446178.179226,5881863611.134356,145276753.70925808,4433684615.525329,12802876639.677765,1181003688.1507916
2021-02-03,660664104637.4851,174557101587.54166,26737565393.607494,7569477058.56905,17039497521.900589,5950883380.064344,180735971.2775028,4054295191.8342094,13649744225.9608,1375270992.6864703
2021-02-04,695794870715.5251,189023794263.7008,27040294469.11286,7735129472.072181,17945935420.571823,6087940607.564829,203744610.56824762,4699500064.498884,14046780963.90513,1486424501.2461636
2021-02-05,686453802173.3838,183982328605.4526,27464486048.164513,8333210382.439513,20405940224.787098,6178741214.817772,201186682.44525746,6810395814.46409,14124867498.632465,1677733734.3813236
2021-02-06,706320162928.6615,196424150368.47876,27816326085.945854,10106500512.436033,20535328839.092148,6322831601.475887,222268505.5315105,6033220883.170296,17202094510.163548,1732564478.9479501
2021-02-07,732453192636.7231,192164042318.95844,28318232688.704033,10648242256.756302,20205229008.6856,6433917491.041055,220914601.53389928,7271788223.656685,19854979470.033638,1614662623.626382
2021-02-08,723434796637.7434,184109385158.1494,28564384006.70739,10133846849.962713,19158415883.033073,6476719261.728173,219932936.52136672,10271067765.038733,20910050886.32516,1741080410.398057
2021-02-09,862413737410.9171,198719063426.16904,28863249466.014015,11666342815.764996,20468514863.339752,6517634647.082634,239165407.7590784,10164021992.649546,21857345265.124405,2067531944.1291592
2021-02-10,867164581003.3563,203102939465.473,29758402439.41391,16042189486.944416,21583065336.769062,6627096518.326073,250012542.4738221,8978311025.66714,22537176367.01823,2066515667.7340856
2021-02-11,839561451461.0575,199919369275.37125,30256118930.225216,19029543691.117306,22982765730.237637,6763193828.535331,242295834.2448262,9381046299.070465,29471024411.441452,2347978417.7784863
2021-02-12,890629045243.5952,203774834938.25632,30750705243.030983,18248020592.96308,23856145163.797523,6913660759.284011,259833191.43432248,8951728841.132595,29490259208.42937,2396719732.1723113
2021-02-13,880620921496.0787,210344318124.73236,31064574294.367252,20066593314.135468,27960966907.84191,7027287391.27018,261280877.970859,8937647950.69853,29484763500.13651,2426763287.306892
2021-02-14,874425017687.0778,207890872554.91016,31539493807.170025,19799743676.327938,28721338583.23619,7190053397.070977,262939728.22138736,8583843025.684837,28898521927.17186,2299907027.7197843
2021-02-15,905515462576.995,207057026271.03055,31950061617.476994,20235468424.048496,27087614068.25724,7433772485.924815,294711629.881902,7963525499.222657,27180580246.00645,2299584697.079879
2021-02-16,892345220938.2782,203972439068.60135,32119872729.8971,19096962299.56091,25026313241.817905,7427673930.147296,294958586.7323307,7306725577.541543,27363016264.865456,2319301370.904806
2021-02-17,917339726314.6964,204528599567.24704,32322580880.821716,19173445845.066593,23858413182.24458,7456620805.750919,291523195.17178017,6943871270.690156,27928267753.64383,2184260799.960396
2021-02-18,971516568847.578,211713928319.03534,32391466873.779316,24144663679.111786,24600084027.406086,7262343574.952406,300622581.17733866,6256910635.589655,28374309990.04283,2173930631.1428275
2021-02-19,963911356673.4604,221863277318.4042,33157947105.034473,28719828748.346386,24401068320.804165,7346658146.765577,333787841.51512885,7729583761.278036,29081988032.46847,2375754523.610692
2021-02-20,1044189900351.5892,226038410300.14252,33750136267.936314,52232341792.26047,26073015135.898396,7555406943.939532,344370114.12837386,7128326860.060291,29861793769.83866,2993685734.1051297
2021-02-21,1050555931433.1447,221404545098.43417,34371952648.25752,39186024468.50675,23657760929.564903,7733340119.667788,339928292.8660936,7082310129.661909,35319686744.70111,2615417098.0195026
2021-02-22,1075380337357.9143,223004310602.46854,34386570525.72401,45745975207.855705,25191390487.04061,7866158100.973781,340343362.4612324,7345301352.426924,35410060966.21958,2943199329.545796
2021-02-23,1012091985973.4642,204731064486.9056,34756738533.76357,41355468790.23462,26315783830.375607,8032612636.103109,312701522.3541799,6873239454.790128,35028892675.36006,3751426598.9179907
2021-02-24,904133801444.5278,179691686731.1511,34896050919.73742,35160048230.5213,21616170566.952755,8125731411.270128,271660314.8449398,6103500677.282097,30289508304.79003,4014384609.485051
2021-02-25,929081504353.552,185843232352.39114,35055733490.14547,39273073153.542694,21552614418.590008,8404744817.241417,292656427.0856388,7332961500.879711,33843111261.4633,4630153132.806194
2021-02-26,875883932252.4404,168658293547.98462,34953515263.391785,36653635808.81574,19755041198.644775,8448299264.704907,271158609.08605045,6454021311.804082,35020140015.7137,3670715311.01561
2021-02-27,869070614247.8623,167151176870.9801,35297886361.616516,34347801258.49284,19740260345.517567,8885825463.25216,263018409.71946073,6487737133.941386,39925051371.214134,3630663218.351275
2021-02-28,869649724200.5775,167833687528.28204,35019017695.772484,34863282195.0899,20027896981.23032,8973026510.162157,264637341.59895805,6538921364.475879,42146907598.95325,3502097092.0348463
2021-03-01,838307614585.1935,163289758568.53607,35168931968.608925,32747054923.74233,18911825797.223972,9003494922.920973,257558423.01740965,6201387146.83418,42022774483.531845,3482110143.44744
2021-03-02,928146793676.4287,179885012253.05722,35205221027.27653,39775549289.62083,20552651911.176292,9053683777.002365,283798158.03327113,6561571713.102942,41594037335.68449,3973508157.3198123
2021-03-03,905413239164.9064,172017777678.2973,35648335234.61495,37318077555.560394,20062243305.49367,8959115661.788998,273014655.5435863,6517554437.5179205,39334338629.338974,3703367097.5839825
2021-03-04,942969910364.1804,182133382817.63593,35849578088.00556,37511795342.74582,20695029438.915802,8823613106.805069,276033518.0087915,6527074840.471931,39107972070.42584,3742765612.839295
2021-03-05,908517236707.5374,177647949967.0106,36436768966.71434,35579395371.44576,22099684135.6188,8902532162.51189,277102273.6344691,6449361941.488914,35699298071.869316,3465889173.00098
2021-03-06,911379300053.3455,176268279969.45792,36442357698.78603,34764818409.196365,20924229172.953815,8894751158.482338,278866082.87590307,6421657994.005719,37171491761.50835,3328224948.5193915
2021-03-07,916504852500.393,191505024384.2956,36505130743.971436,35132140627.2429,21217513030.920322,9032233273.946411,293038723.4337979,6545855781.13969,36209341046.99843,3455484976.176569
2021-03-08,955040794770.1399,198695961501.5439,36537451758.11312,36937041399.52951,21346485941.39555,9176406818.472105,299263259.7582876,6657773355.5391445,36237342226.55843,3683032789.5785527
2021-03-09,974195000547.444,211132676701.59906,36485945568.00477,37175687161.84234,21854816055.903694,9145091358.233006,317176961.6313772,7776184982.657351,35980627649.90802,3627821384.30089
2021-03-10,1018978819157.4177,214412034435.93906,36891976398.89507,45349664034.30795,22264238440.69771,9150186674.592384,329182604.3752913,7446831674.698749,37935761722.85194,3948666694.263174
2021-03-11,1044805904677.5541,207916309215.61444,37294121249.33685,43134755617.83653,21262253816.11749,9201978686.7138,329898559.39568394,7232723297.052502,36408738227.808464,3801048410.6381907
2021-03-12,1077836070933.286,210018342198.09778,37582370331.17996,44525761191.37331,20746293012.117126,9319995199.601757,333299923.5620808,7201587925.215205,35855208322.38496,4251534865.370938
2021-03-13,1069776383193.8628,203771682506.1516,38189879216.688835,40908235661.641716,20167421887.68146,9346257994.862656,324313855.69440186,7094349920.738156,33152429641.02667,3904039878.018883
2021-03-14,1145191373521.5942,222405459430.76758,38311238719.403534,42898756292.75063,21131015891.193703,9441975283.504192,352839315.0936329,7750447457.349575,35195036232.59664,4102822643.225109
2021-03-15,1111684638819.0723,215367930757.887,38391230641.18308,41037415793.37244,20362356691.720158,9410543236.68596,337871232.21925175,7610317577.680777,34009748229.638126,3914890622.8352118
2021-03-16,1049197142851.5631,207264868908.9888,38533359862.69341,39434323550.85248,20046575704.500507,9519577208.063923,327760427.14815843,7324737827.105644,33196924181.247555,3802503168.3197436
2021-03-17,1060221966894.7418,207059072434.72623,38715432782.02733,39929253304.221054,21256330225.999702,9518430137.64325,328378342.5222747,7556337741.529358,39776083076.15777,3652666107.3940897
2021-03-18,1101028543248.462,210150824167.56415,38960558816.205734,41811497472.197235,21705878435.49229,9603930632.686089,321599551.3513637,7517749272.836182,44206349365.28759,3813907144.3630457
2021-03-19,1081065767945.8683,205022936620.98633,39026603881.10389,40603807044.01744,21683764043.52461,9735135431.104248,318143497.9496602,7429523848.349583,39635535373.70477,3818502582.108464
2021-03-20,1086741150606.8165,209188785173.5874,39402122650.76657,40708892326.84678,21486188493.978672,9995845147.429546,331655174.3892655,7528469476.699196,41583044699.256805,3784530964.203633
2021-03-21,1090022321077.5006,209455699202.5177,39691193064.47697,41004900988.47188,24299248758.427185,10047460400.69455,324579083.4998464,7634534867.583149,38792953193.45229,3827195162.447837
2021-03-22,1074356788297.177,206013222508.0891,39733383314.9747,40931038994.92851,23912350892.242435,10222586940.02875,318975718.50393784,7393832359.18554,38071795657.28376,3820743747.1802936
2021-03-23,1020641820438.662,195434685366.63266,39779162452.00496,39834881552.667854,25443377644.783222,10262107981.295486,298103060.5698864,7186846705.617689,35708026844.135155,3996883816.28734
2021-03-24,1017637245492.0177,192388701720.41965,39679592730.53306,39376090108.768486,25328216010.82461,10297325819.502125,296240548.8227197,6929411775.529846,36009559805.77391,3797038254.76521
2021-03-25,982797427007.2565,183005042939.6772,39874985485.65208,38516791584.363754,22421022550.637875,10378845922.447048,282328022.2358038,6729987270.272253,34095874084.32727,3673111725.425858
2021-03-26,959155260366.7408,182810172113.94278,40325387954.373184,36192768189.38144,23454220010.3365,10525664762.637266,281726610.52717125,6575327768.216504,35106594429.1254,3458196577.606995
2021-03-27,1027209990794.8939,195511706252.9431,40289735331.71208,39235816415.848915,26022913036.415676,10839740837.13481,300043292.80682737,6940289324.519491,38738000195.67598,3952457817.8285327
2021-03-28,1042184275332.6417,197943394049.89084,40515567103.37723,41937086118.26921,25186564703.1959,10899687714.941328,307162321.8044741,6962666597.6680355,37797370711.05132,4447942286.041741
2021-03-29,1039333584621.1438,194647792269.71985,40696987500.41536,41484697966.03745,25262286543.943695,10989945486.61024,301807932.7367469,7015286857.656734,38106805966.64899,4849136131.610755
2021-03-30,1075942162536.995,209088522651.80023,40527975007.60046,42478850221.41467,25942283784.411938,10809771379.204071,324269510.52547604,7079729288.069406,38374558120.76606,5060496028.96088
2021-03-31,1095293012032.8433,212080597430.12268,40730247053.68744,47742356655.602066,25985680163.48191,10903519641.173302,329674949.0681081,7046811980.471197,38747164636.98202,5140859722.050636
2021-04-01,1098127310946.8978,221210690537.73203,40816914163.929474,46841566978.953735,26345850652.65566,10825119295.695835,371312517.8656141,7014689872.852019,38261200550.94287,5229172252.453522
2021-04-02,1098583823874.2307,227187483748.8278,40835188151.576355,52021709574.684296,26156246584.42219,10874663109.108192,380181035.96008724,7924888032.648992,37885255531.37811,5115358904.3969
2021-04-03,1103133931136.5508,246446284273.69153,41789686877.69644,52098346307.81932,27689105144.11829,10920631184.154629,398684970.19520956,7507812667.994134,38175120188.83439,5287278539.188044
2021-04-04,1067101827372.9529,233519912234.63,42448788685.50856,49920147538.04927,26697487988.47653,10814220927.238144,393148123.4491205,7298466978.786948,37354800049.67576,6076766593.933186
