timestamp,precio,market_cap,total_volumen
2022-02-16,433.47281446401036,72921371863.18454,2097197141.7202258
2022-02-17,428.8180875718536,72209779015.14417,1325457432.7809157
2022-02-18,402.6685524727072,67768130125.47836,1129722977.6152854
2022-02-19,399.96396483573227,67290288640.625626,388266118.98024994
2022-02-20,400.6940738297616,67268132030.639,938066424.2155038
2022-02-21,381.5753630415743,64427436020.24641,1148015812.1110637
2022-02-22,356.95637673151066,60272497691.14773,1618738858.8180537
2022-02-23,374.4295685151946,62997037014.43592,1611578892.7079134
2022-02-24,367.5251688253597,61823423821.17144,1287048726.698975
2022-02-25,361.3380734966986,60666123711.91457,2319428614.462771
2022-02-26,375.03608137178696,63040996747.37649,1248836310.7448277
2022-02-27,373.7079661445891,62626174042.79944,1034746780.5093408
2022-02-28,361.2948659522814,60867607019.914635,1258267471.1888309
2022-03-01,395.81210282228517,66424867796.34133,1540189377.8998697
2022-03-02,409.35284973272474,68682205857.10456,2509007292.682648
2022-03-03,409.2816691541611,68815406699.78511,1535399359.5437255
2022-03-04,402.97758410846944,67836012886.51726,876430177.8011239
2022-03-05,375.0267575042342,63038204707.347404,1412989509.4984322
2022-03-06,385.44055544847913,64694552915.98726,1178995370.37429
2022-03-07,375.2821061110737,63077523633.75106,1181871869.7686915
2022-03-08,381.519857500964,63911307485.45487,1813986132.7580984
2022-03-09,381.74362262533583,64220105349.65272,1436515784.4588244
2022-03-10,393.61178701657997,66202668578.4044,1804524853.4562242
2022-03-11,371.96825460939016,62505187316.17649,1594885257.3842895
2022-03-12,372.36543603264835,62803713530.74828,1295143505.749849
2022-03-13,372.861142791542,62799547814.066925,964508018.3086361
2022-03-14,362.3421368408956,60866119883.07311,376150073.5854782
2022-03-15,372.9835915188982,62671877529.375824,1212240585.1055381
2022-03-16,371.5510664751932,62545699437.98864,1137029114.8387299
2022-03-17,385.651946371343,64769916794.3659,1510185427.3732588
2022-03-18,392.37620805338537,65846032213.57711,1283779184.118896
2022-03-19,397.6323146779455,66860410901.468994,1348743666.6484985
2022-03-20,399.60386256909703,67167808769.26283,942688898.0845921
2022-03-21,390.73393615164787,65740764174.25152,1089593267.9744828
2022-03-22,396.4847041639013,66563040409.07858,1117952150.0327206
2022-03-23,403.974420320891,67944911784.28478,1410134835.8988323
2022-03-24,407.7264488090159,68533085664.445015,1359589492.0039978
2022-03-25,413.5199383599232,69570163337.93143,1414904527.1329823
2022-03-26,410.97060844052277,69101357831.00623,1382665232.1999316
2022-03-27,415.64086101303536,69918476312.58119,810539522.9863377
2022-03-28,429.7920415860487,72171510772.34586,1228513374.3778086
2022-03-29,429.884089355581,72525569986.30646,1785452104.8351495
2022-03-30,434.26913259375914,73031351753.69048,1642982250.9366329
2022-03-31,442.79274502324165,74528326961.8592,1873665298.2904177
2022-04-01,428.7633719999265,72076475923.10056,1862521187.8113406
2022-04-02,446.51720877896327,74975843094.60384,2415807550.643166
2022-04-03,436.6346092948738,73580203376.82477,1719409479.349891
2022-04-04,449.0517773445914,75453944280.38243,1926051773.6496046
2022-04-05,447.4021754279126,75127757360.83472,2040640167.566722
2022-04-06,446.6928276583855,75257138923.67526,2111671411.185174
2022-04-07,420.5214175354114,70913339346.85448,2227804262.08252
2022-04-08,437.09242241473214,73491424319.16377,1902419275.6903815
2022-04-09,421.46865244846873,70595674729.47571,1895964802.5659816
2022-04-10,426.92155320889725,71781324518.36812,1312491096.8495579
2022-04-11,419.82285192759065,70798823665.38066,1230641841.8784754
2022-04-12,394.05470314772543,66255189769.71295,2139768656.2142828
2022-04-13,414.5915061665852,69708186956.16621,1974498684.823981
2022-04-14,423.54287679551277,71207307204.25941,1726755978.7743976
2022-04-15,415.2804961631375,69824031691.95126,637543282.9959954
2022-04-16,417.5653550897319,70113766960.73828,1092656125.8656168
2022-04-17,417.7292561292627,70352696631.83182,960255591.9764392
2022-04-18,407.52660227622914,68520314957.12335,887315102.6807246
2022-04-19,416.9236775343864,70069289513.02328,1663405006.6422668
2022-04-20,422.18168588996065,70963228669.50735,1684344617.8329713
2022-04-21,418.2972967410871,70312408958.09077,2041447597.7314599
2022-04-22,405.007526363807,68052602510.57242,1987149683.7801418
2022-04-23,407.29828768348585,68545771657.55915,1856696292.2618985
2022-04-24,401.8406948222838,67564303331.415276,857943401.5593833
2022-04-25,399.06907472547033,67305356883.21876,1105869387.6978633
2022-04-26,404.60678401197765,68052709104.909424,1913307233.8091278
2022-04-27,385.02761250551754,64737401506.33148,1075313404.2201037
2022-04-28,391.2855429453306,65776057225.10052,1395387038.3115418
2022-04-29,406.3266878708985,68164491595.67788,2003276231.7060096
2022-04-30,392.9643749272761,66152617932.25558,1914673120.4916348
2022-05-01,378.73468452228144,63862082109.34614,1369438095.1543453
2022-05-02,390.8651456422927,65644187988.487114,1747249741.6637166
2022-05-03,389.8047599149916,65520745450.58815,1150913812.8750987
2022-05-04,383.7098536711533,64548901391.76938,1231287145.0026062
2022-05-05,402.61952046900893,67720818327.89634,1688036565.0797029
2022-05-06,379.21236440130934,63635450816.209496,2539500897.383408
2022-05-07,379.81681129021393,63931869616.4675,1879809067.8329954
2022-05-08,366.25622157917917,61694401854.02236,1484663429.2283075
2022-05-09,355.66558193095045,59770459493.14467,1768055683.05187
2022-05-10,301.28375582072573,50859142819.52243,3164346808.261889
2022-05-11,318.9583938325508,53628718914.42993,4423139725.452738
2022-05-12,269.00669656703536,44475852347.89696,2297689496.5699925
2022-05-13,269.77280092605076,45445655852.13465,5267479590.191646
2022-05-14,291.05538401729126,49020764852.40805,2677455045.457183
2022-05-15,298.3592181960573,49702725963.90215,1555815081.067778
2022-05-16,311.97562672862404,52549787608.41154,1727805539.1303713
2022-05-17,298.1658192080871,50065379602.77897,1684110716.251434
2022-05-18,306.5358434449809,51662703575.09275,1584146318.300808
2022-05-19,288.249178406239,48512726765.68842,1487684738.3119953
2022-05-20,307.630493551344,51737725724.41182,1444186202.1248186
2022-05-21,302.90843357288986,50943276041.32551,1752120030.7295442
2022-05-22,312.8154289324993,52595859004.497536,1312260645.3703418
2022-05-23,319.8494390456595,53787029351.10897,1764074093.06145
2022-05-24,317.7471875282028,53466327176.63561,2205318718.718959
2022-05-25,328.2995872481599,55142195074.28065,2193790175.7620344
2022-05-26,326.18222222703326,54907712188.861275,2048522177.8231902
2022-05-27,307.82419266656734,51941575183.316055,2808282194.4732704
2022-05-28,301.2670509597398,50654148962.7049,2660229690.8098593
2022-05-29,309.0366097163039,52054875073.40336,1358488521.9324367
2022-05-30,306.1490273925443,51494080030.687096,1027383625.450085
2022-05-31,322.18861424458186,54167940538.84037,1711355389.025887
